source_id,true_class,galaxy_prob,qso_prob,star_prob,predicted_class,correct
0243p045_b0-008702,GALAXY,3.324049248476513e-05,3.417083149770406e-08,0.9999667406082153,STAR,0
1800p000_b0-002975,GALAXY,0.08962501585483551,0.723266065120697,0.18710893392562866,QSO,0
1997p439_b0-002195,GALAXY,0.19322362542152405,0.5765661597251892,0.23021019995212555,QSO,0
2011p318_b0-002277,GALAXY,0.00853304099291563,0.00033019494730979204,0.9911367893218994,STAR,0
2095p530_b0-001575,GALAXY,0.0001886572572402656,0.9998083710670471,2.9388124858087394e-06,QSO,0
2131p590_b0-001931,GALAXY,0.020543096587061882,0.9670462608337402,0.01241062581539154,QSO,0
2442p181_b0-004436,GALAXY,0.07406888157129288,0.1059761717915535,0.8199549317359924,STAR,0
3267p000_b0-009322,GALAXY,0.006611675955355167,0.004183061420917511,0.9892052412033081,STAR,0
3388p000_b0-000544,GALAXY,0.002443779958412051,0.013031089678406715,0.9845251441001892,STAR,0
3550p257_b0-010263,GALAXY,0.0006727204308845103,7.335083500947803e-05,0.9992539286613464,STAR,0
0015p000_b0-029500,QSO,0.0007237961981445551,0.9967705011367798,0.0025057203602045774,QSO,1
1296p590_b0-022297,QSO,0.008462423458695412,0.5978513956069946,0.3936861753463745,QSO,1
1324p363_b0-022979,QSO,0.0018862680299207568,0.9844653010368347,0.01364839542657137,QSO,1
1432p393_b0-035586,QSO,0.004748122300952673,0.23763637244701385,0.7576155066490173,STAR,0
1493p333_b0-001595,QSO,8.470563625451177e-05,0.9999152421951294,5.685232551400077e-08,QSO,1
1582p302_b0-019390,QSO,0.0009046182967722416,0.9955440163612366,0.0035513481125235558,QSO,1
1591p121_b0-003269,QSO,0.00024885256425477564,0.9997480511665344,3.0356613933690824e-06,QSO,1
1723p272_b0-003555,QSO,0.0003711126046255231,0.9995893836021423,3.948725134250708e-05,QSO,1
2119p545_b0-026727,QSO,0.0029335152357816696,0.9304338097572327,0.06663262099027634,QSO,1
2167p393_b0-044755,QSO,0.0026848565321415663,0.0638628676533699,0.933452308177948,STAR,0
0152p469_b0-057897,STAR,5.11217258463148e-05,5.163293280929793e-06,0.999943733215332,STAR,1
0393p000_b0-021346,STAR,0.0002430403110338375,0.0008364181267097592,0.9989205598831177,STAR,1
0499m016_b0-003219,STAR,0.0029809297993779182,0.0003330937761347741,0.9966860413551331,STAR,1
2045p272_b0-000586,STAR,0.00663328729569912,0.001487587345764041,0.9918791055679321,STAR,1
2163m016_b0-040870,STAR,0.0006347860908135772,0.0050262645818293095,0.9943390488624573,STAR,1
2334p469_b0-002716,STAR,0.02749345824122429,0.010440723970532417,0.9620657563209534,STAR,1
2341p393_b0-000723,STAR,0.011326194740831852,0.003473549848422408,0.9852002859115601,STAR,1
3282p000_b0-011511,STAR,0.0006569607648998499,2.1992233087075874e-05,0.9993209838867188,STAR,1
3327p000_b0-001431,STAR,0.0026933548506349325,6.74563052598387e-05,0.9972392320632935,STAR,1
3469p227_b0-008059,STAR,0.001707750023342669,0.0006696714553982019,0.997622549533844,STAR,1
