EMU_component_name,RA,Dec,probs_mode,A_Galaxy_prob,A_QSO_prob,A_STAR_prob,Nonhost_prob,Host_prob,Prediction,Ground_Truth
EMU_DRAGN_01166,313.975,-59.22372222222222,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_01700,318.92175,-55.77122222222222,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00898,311.394125,-53.240833333333335,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00472,307.2656666666667,-52.02086111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_01252,314.781375,-62.59361111111112,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00701,309.3880833333334,-48.97588888888889,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00699,309.37083333333334,-54.65205555555556,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_03523,335.7144166666667,-51.63286111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00157,304.19416666666666,-57.744166666666665,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02072,322.5517083333333,-60.900666666666666,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02524,326.048375,-56.81183333333333,prior,0.45,0.45,0.1,0.999971,2.9e-05,0,1
EMU_DRAGN_02571,326.55354166666666,-58.73530555555556,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00422,306.86558333333335,-52.780166666666666,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02476,325.6707083333333,-48.41511111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02028,322.1225,-57.719,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02918,329.4845833333334,-61.54786111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_03259,332.88395833333334,-61.24252777777778,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02501,325.88866666666667,-57.17216666666666,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00537,307.93175,-49.142694444444444,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00864,311.002625,-50.35761111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_02936,329.60116666666664,-57.48086111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_03005,330.237375,-53.18433333333333,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00552,308.09220833333336,-51.061,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_00442,307.04708333333326,-56.84238888888889,prior,0.45,0.45,0.1,1.0,0.0,0,1
EMU_DRAGN_01963,321.54229166666664,-53.17386111111111,prior,0.45,0.45,0.1,1.0,0.0,0,1
