EMU_component_name,RA,Dec,probs_mode,A_Galaxy_prob,A_QSO_prob,A_STAR_prob,Nonhost_prob,Host_prob,Prediction,Ground_Truth
EMU_PS_J203949.2-583838,309.955122,-58.643919,raw,0.002391,0.006027,0.991582,1.0,0.0,0,0
EMU_PS_J215624.1-510048,329.100394,-51.013472,raw,0.000371,0.000125,0.999504,1.0,0.0,0,0
EMU_PS_J214045.1-500037,325.187895,-50.010405,raw,0.000972,0.001267,0.997761,1.0,0.0,0,0
EMU_PS_J220653.7-524914,331.723595,-52.820692,raw,0.000221,0.000834,0.998945,1.0,0.0,0,0
EMU_PS_J204913.4-511318,312.305684,-51.221766,raw,0.000168,0.002454,0.997378,1.0,0.0,0,0
EMU_PS_J211656.8-524327,319.236704,-52.724393,raw,0.000333,0.002186,0.997481,1.0,0.0,0,0
EMU_PS_J213239.6-613827,323.165092,-61.641035,raw,0.000465,0.002787,0.996747,0.994799,0.005201,0,0
EMU_PS_J210815.7-573617,317.065378,-57.604748,raw,0.006394,0.000516,0.99309,1.0,0.0,0,0
EMU_PS_J203654.2-601400,309.22573,-60.233267,raw,0.002336,0.000923,0.996741,1.0,0.0,0,0
EMU_PS_J200803.0-521440,302.012366,-52.244543,raw,0.003152,0.000342,0.996506,1.0,0.0,0,0
EMU_PS_J203806.6-572758,309.52751,-57.466124,raw,0.002865,0.000492,0.996643,1.0,0.0,0,0
EMU_PS_J203357.3-493616,308.488957,-49.604476,raw,0.001528,0.00204,0.996431,1.0,0.0,0,0
EMU_PS_J205904.7-572343,314.769598,-57.395486,raw,0.000181,0.010014,0.989805,1.0,0.0,0,0
EMU_PS_J202749.4-590900,306.955839,-59.149878,raw,0.000312,0.000155,0.999533,1.0,0.0,0,0
EMU_PS_J205329.0-590951,313.370973,-59.164198,raw,0.001393,0.005798,0.992809,1.0,0.0,0,0
EMU_PS_J213327.8-581221,323.365754,-58.205872,raw,0.004765,4.2e-05,0.995193,1.0,0.0,0,0
EMU_PS_J205249.3-521413,313.205523,-52.236962,raw,0.003086,0.000423,0.996492,1.0,0.0,0,0
EMU_PS_J211544.0-524212,318.933288,-52.703364,raw,0.000311,0.001619,0.998069,1.0,0.0,0,0
EMU_PS_J221314.2-621212,333.309311,-62.203438,raw,0.00098,0.004993,0.994027,1.0,0.0,0,0
EMU_PS_J215646.7-593930,329.194566,-59.658413,raw,0.000617,0.005536,0.993846,1.0,0.0,0,0
EMU_PS_J201700.8-493158,304.253531,-49.532801,raw,0.000943,0.006801,0.992256,1.0,0.0,0,0
EMU_PS_J212659.0-540222,321.745841,-54.039507,raw,0.000368,0.005262,0.994369,1.0,0.0,0,0
EMU_PS_J220118.0-542011,330.32482,-54.336576,raw,0.000959,0.004085,0.994956,1.0,0.0,0,0
EMU_PS_J202557.3-520755,306.488855,-52.132075,raw,0.003159,0.000339,0.996502,1.0,0.0,0,0
EMU_PS_J222222.6-505311,335.594339,-50.88652,raw,0.000274,0.003506,0.996221,1.0,0.0,0,0
EMU_PS_J202702.9-615417,306.761893,-61.904765,raw,0.000323,0.005913,0.993764,1.0,0.0,0,0
EMU_PS_J214925.4-583326,327.355686,-58.557225,raw,0.0018,0.000276,0.997924,1.0,0.0,0,0
EMU_PS_J205813.8-531636,314.557546,-53.276743,raw,0.00226,0.001067,0.996674,1.0,0.0,0,0
EMU_PS_J204812.9-520851,312.053818,-52.147518,raw,0.001762,0.005108,0.99313,0.117689,0.882311,1,0
EMU_PS_J220104.2-624243,330.267598,-62.712199,raw,0.001958,0.000788,0.997254,1.0,0.0,0,0
EMU_PS_J214928.2-551017,327.367487,-55.171489,raw,0.000177,0.019138,0.980684,1.0,0.0,0,0
EMU_PS_J210734.6-581753,316.894011,-58.298062,raw,0.0021,0.000511,0.997389,1.0,0.0,0,0
EMU_PS_J202608.1-532733,306.533757,-53.459321,raw,0.001113,0.002749,0.996139,1.0,0.0,0,0
EMU_PS_J220625.4-490656,331.605797,-49.115557,raw,0.000178,0.005203,0.994618,1.0,0.0,0,0
EMU_PS_J213953.0-563518,324.97064,-56.588432,raw,0.000895,0.003062,0.996043,1.0,0.0,0,0
EMU_PS_J215217.8-615309,328.074314,-61.886048,raw,0.000166,0.007618,0.992216,1.0,0.0,0,0
EMU_PS_J212426.0-563458,321.108517,-56.582934,raw,0.001039,0.001189,0.997772,1.0,0.0,0,0
EMU_PS_J210731.8-540450,316.882566,-54.080678,raw,0.002013,0.000676,0.997311,1.0,0.0,0,0
EMU_PS_J220033.7-574720,330.140349,-57.788948,raw,0.00041,0.003493,0.996098,1.0,0.0,0,0
EMU_PS_J222143.5-533058,335.431395,-53.516191,raw,0.000162,0.002795,0.997042,1.0,0.0,0,0
EMU_PS_J205549.0-590553,313.954375,-59.098266,raw,0.001739,0.003417,0.994843,1.0,0.0,0,0
EMU_PS_J212825.1-550702,322.104456,-55.117451,raw,0.001466,0.003394,0.995139,1.0,0.0,0,0
EMU_PS_J212029.9-554719,320.124661,-55.788816,raw,0.000173,0.002085,0.997743,1.0,0.0,0,0
EMU_PS_J204758.4-615510,311.993136,-61.919653,raw,0.001711,0.000297,0.997992,1.0,0.0,0,0
EMU_PS_J215652.7-582806,329.219612,-58.468406,raw,0.000164,0.018157,0.981678,1.0,0.0,0,0
EMU_PS_J214721.9-553239,326.841163,-55.544353,raw,0.000356,0.002714,0.996931,1.0,0.0,0,0
EMU_PS_J210208.9-500206,315.53716,-50.035185,raw,0.00261,0.000923,0.996467,1.0,0.0,0,0
EMU_PS_J200546.3-531018,301.442717,-53.17175,raw,0.001203,0.000394,0.998403,1.0,0.0,0,0
